City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
514,Nsanje,MW,75.45,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
517,Progreso,MX,88.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
521,Shimoni,KE,78.12,light rain,-4.6476,39.3817,Shimoni Reef Lodge
524,Itarema,BR,81.43,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
525,Nicoya,CR,79.7,light rain,10.1483,-85.452,Las Cabinas Del Sueño
531,Carlagan,PH,80.62,broken clouds,14.975,122.0456,Cabatagan Island
532,Humaita,BR,89.94,moderate rain,-7.5061,-63.0208,Corrêa Hotel
534,Mitsamiouli,KM,77.14,broken clouds,-11.3847,43.2844,Foyer ADM
535,Bajil,YE,80.98,clear sky,15.0584,43.2851,فندق حضرموت
541,Huai Mek,TH,75.87,overcast clouds,16.5898,103.2355,บ้านของกุ๊กกิ๊ก
542,Santa Clara,CU,80.26,light rain,22.4,-79.9667,El Carmen
553,Itagiba,BR,77.41,overcast clouds,-14.2836,-39.8428,KALIBA BAR Pousada e Restaurante
572,Puerto Cabezas,NI,84.38,scattered clouds,14.0351,-83.3888,Cabaña Caribe
573,Puerto El Triunfo,SV,82.31,overcast clouds,13.2833,-88.55,Hotel Jardin
579,Puerto Carreno,CO,87.62,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
583,Lethem,GY,81.5,overcast clouds,3.3803,-59.7968,Savannah Inn
585,Yenagoa,NG,76.78,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
588,Kendari,ID,76.01,overcast clouds,-3.945,122.4989,Hotel Wixel
589,Portobelo,PA,84.11,moderate rain,9.55,-79.65,Scuba Portobelo
590,Jawhar,SO,76.41,broken clouds,2.7809,45.5005,Hotel Shabelle
592,Luganville,VU,77.95,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
598,Tagusao,PH,79.16,broken clouds,9.1924,117.8141,Caycay future beach resort
600,Kudahuvadhoo,MV,80.76,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
601,Atar,MR,80.33,overcast clouds,20.5169,-13.0499,Oumou Elghoura
604,Maiduguri,NG,77.49,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
606,Arlit,NE,79.7,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
610,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
614,Barahona,DO,87.62,scattered clouds,18.2085,-71.1008,Hotel Caribe
616,Caraballeda,VE,84.36,overcast clouds,10.6112,-66.8522,Ole Caribe
618,Tomatlan,MX,86.18,clear sky,19.9333,-105.25,El Salvial
619,Yantzaza,EC,76.8,moderate rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
627,Cabedelo,BR,80.29,few clouds,-6.9811,-34.8339,Pousada Camboinha
628,Kaduna,NG,76.06,clear sky,10.5222,7.4383,HAMDALA HOTEL
629,Belmonte,BR,78.39,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
638,Dicabisagan,PH,77.9,clear sky,17.0818,122.4157,Nancy Montanes Bernardo
648,Matara,LK,76.59,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
659,Sao Lourenco,BR,81.5,broken clouds,-22.1164,-45.0544,Alzira Plaza Hotel
