City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Constitucion,CL,2022-11-09 18:53:08,-35.3333,-72.4167,54.21,96,100,13.87
67,Strezhevoy,RU,2022-11-09 18:54:47,60.7333,77.5889,26.2,97,100,7.14
68,La Ronge,CA,2022-11-09 18:50:38,55.1001,-105.2842,3.45,78,20,5.75
69,Naze,JP,2022-11-09 18:54:47,28.3667,129.4833,72.52,74,99,9.51
70,Dharmadam,IN,2022-11-09 18:54:48,11.7833,75.4333,75.99,80,9,4.97
71,Caninde,BR,2022-11-09 18:54:48,-4.3589,-39.3117,92.86,30,100,7.61
72,Vaini,TO,2022-11-09 18:50:43,-21.2,-175.2,73.56,88,100,12.66
73,Port Moresby,PG,2022-11-09 18:52:02,-9.4431,147.1797,78.22,83,20,5.75
74,Moose Factory,CA,2022-11-09 18:54:49,51.2585,-80.6094,39.2,81,100,14.97
75,Port Alfred,ZA,2022-11-09 18:50:34,-33.5906,26.891,63.18,86,97,5.01
76,Inta,RU,2022-11-09 18:54:49,66.0317,60.1659,23.85,91,100,5.55
77,Killybegs,IE,2022-11-09 18:54:49,54.6333,-8.45,51.51,91,100,18.97
78,Butaritari,KI,2022-11-09 18:50:36,3.0707,172.7902,80.58,82,100,16.22
79,Stornoway,GB,2022-11-09 18:54:50,58.2093,-6.3865,49.96,86,75,16.11
80,Saldanha,ZA,2022-11-09 18:54:50,-33.0117,17.9442,60.85,78,0,18.21
81,Ancud,CL,2022-11-09 18:50:37,-41.8697,-73.8203,56.88,83,100,7.76
82,Ornskoldsvik,SE,2022-11-09 18:54:51,63.2909,18.7153,32.95,100,100,6.91
83,Bambous Virieux,MU,2022-11-09 18:54:51,-20.3428,57.7575,73.65,78,40,5.75
84,San Francisco,US,2022-11-09 18:51:31,37.7749,-122.4194,59.2,72,40,9.22
85,Clyde River,CA,2022-11-09 18:54:51,70.4692,-68.5914,-7.37,71,20,16.11
86,Aracati,BR,2022-11-09 18:54:52,-4.5617,-37.7697,84.33,57,100,12.84
87,Albany,US,2022-11-09 18:51:24,42.6001,-73.9662,53.02,36,0,6.58
88,Beringovskiy,RU,2022-11-09 18:49:30,63.05,179.3167,18.0,93,100,5.84
89,Jamestown,US,2022-11-09 18:45:51,42.097,-79.2353,62.19,23,0,9.22
90,Port Elizabeth,ZA,2022-11-09 18:49:27,-33.918,25.5701,62.89,91,75,11.5
91,Naron,ES,2022-11-09 18:55:05,43.5167,-8.1528,63.45,90,100,3.91
92,Hit,IQ,2022-11-09 18:55:52,33.6416,42.8251,70.65,32,72,8.48
93,Macusani,PE,2022-11-09 18:55:53,-14.0833,-70.4333,42.19,76,100,7.0
94,Tiksi,RU,2022-11-09 18:49:31,71.6872,128.8694,-9.62,97,98,8.77
95,Paita,PE,2022-11-09 18:55:53,-5.0892,-81.1144,72.07,68,52,15.55
96,Qaanaaq,GL,2022-11-09 18:49:32,77.484,-69.3632,-10.62,60,98,7.34
97,Tasiilaq,GL,2022-11-09 18:49:26,65.6145,-37.6368,32.16,79,100,6.69
98,Soe,ID,2022-11-09 18:55:54,-9.8607,124.284,67.68,93,79,1.54
99,Solnechnyy,RU,2022-11-09 18:55:54,50.7214,136.6319,25.05,47,67,11.7
